"Child_ID","Region","Urbanicity","Gender","C1_Reading","C1_Math","C2_Reading","C2_Math","C4_Reading","C4_Math","C5_Reading","C5_Math","C6_Reading","C6_Math","C7_Reading","C7_Math","P2_Family_Type","WK_Income","Parent_Education","Non_Home_English_Speaker","Full_Time_Program"
"0006021C",1,1,1,26,20,38,28,NA,NA,NA,NA,NA,NA,NA,NA,4,13000,0,0,0
"0006022C",1,1,0,31,21,46,33,66,57,127,106,159,128,150,142,NA,9000,0,0,0
"0006023C",1,1,0,29,19,35,29,52,38,NA,NA,NA,NA,NA,NA,4,600,0,0,0
"0006024C",1,1,0,27,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,1,NA,NA
"0006025C",1,1,0,36,26,41,31,NA,NA,NA,NA,NA,NA,NA,NA,1,26000,1,0,0
"0007001C",1,1,0,35,29,45,40,62,76,NA,NA,NA,NA,NA,NA,1,52000,1,0,0
"0007002C",1,1,0,38,34,58,38,105,54,138,102,174,124,193,131,3,106000,1,0,0
"0007003C",1,1,1,42,24,48,35,67,55,NA,NA,NA,NA,NA,NA,1,80000,2,0,0
"0007004C",1,1,0,76,43,109,73,126,88,173,135,174,139,191,166,1,110000,2,0,0
"0007005C",1,1,0,49,23,79,44,NA,NA,NA,NA,NA,NA,NA,NA,1,18000,2,0,0
"0007006C",1,1,1,38,24,50,35,75,49,148,84,175,106,195,146,1,65000,2,0,0
"0007007C",1,1,1,35,21,38,34,52,41,NA,NA,NA,NA,NA,NA,1,36000,0,0,0
"0007008C",1,1,0,36,26,41,34,64,66,125,90,170,117,201,154,1,110000,1,0,0
"0007009C",1,1,1,40,20,39,28,66,41,136,74,142,102,148,135,2,110000,0,0,0
"0007010C",1,1,0,26,13,35,24,60,52,113,91,167,103,198,146,1,65000,2,0,0
"0007011C",1,1,0,28,20,37,28,NA,NA,NA,NA,NA,NA,NA,NA,1,12000,0,0,0
"0007012C",1,1,0,50,46,79,59,NA,NA,NA,NA,NA,NA,NA,NA,1,43000,2,0,0
"0007013C",1,1,0,50,44,57,57,125,73,191,142,NA,NA,NA,NA,1,80000,2,0,0
"0007014C",1,1,1,40,29,44,32,NA,NA,NA,NA,NA,NA,NA,NA,1,45000,1,0,0
"0007015C",1,1,1,29,22,43,34,87,54,170,105,182,121,NA,NA,2,45000,0,0,0
"0007016C",1,1,0,28,17,30,35,41,42,122,105,134,122,NA,NA,1,60000,1,0,0
"0007017C",1,1,1,52,48,87,54,127,92,178,126,182,140,206,162,1,120000,2,0,0
